x,y
1.079000,9E2
2.119000,8E2
3.168000,9E2
4.208000,9E2
5.247000,9E2
6.296000,9E2
7.346000,9E2
8.385000,9E2
9.435000,9E2
10.474000,9E2
11.514000,9E2
12.553000,9E2
13.593000,9E2
14.632000,9E2
15.681000,9E2
16.731000,9E2
17.780000,9E2
18.820000,9E2
19.869000,9E2
20.909000,9E2
21.948000,9E2
22.988000,9E2
24.027000,9E2
25.066000,9E2
26.106000,9E2
27.145000,9E2
28.185000,9E2
29.224000,9E2
30.274000,9E2
31.313000,9E2
32.353000,9E2
33.402000,9E2
34.441000,9E2
35.491000,9E2
36.540000,9E2
37.580000,9E2
38.620000,9E2
39.669000,9E2
40.708000,9E2
41.758000,9E2
42.807000,9E2
43.847000,9E2
44.886000,9E2
45.926000,9E2
46.975000,9E2
48.020000,9E2
49.070000,9E2
50.109000,9E2
51.159000,9E2
52.208000,9E2
53.248000,9E2
54.297000,9E2
55.337000,9E2
56.376000,9E2
57.416000,9E2
58.455000,9E2
59.495000,9E2
60.534000,9E2
61.573000,9E2
62.623000,9E2
63.662000,9E2
64.702000,9E2
65.751000,9E2
66.791000,9E2
67.830000,9E2
68.870000,9E2
69.909000,9E2
70.958000,9E2
71.998000,9E2
73.047000,9E2
74.087000,9E2
75.136000,9E2
76.176000,9E2
77.225000,9E2
78.265000,9E2
79.314000,9E2
80.353000,9E2
81.393000,9E2
82.432000,9E2
83.472000,9E2
84.511000,9E2
85.561000,9E2
86.600000,9E2
87.640000,9E2
88.689000,9E2
89.738000,9E2
90.778000,9E2
91.817000,9E2
92.857000,9E2
93.896000,9E2
94.946000,9E2
95.985000,9E2
97.025000,9E2
98.074000,9E2
99.113000,9E2
100.163000,9E2
101.202000,9E2
102.252000,9E2
103.291000,9E2
104.331000,9E2
105.370000,9E2
106.410000,9E2
107.459000,9E2
108.498000,9E2
109.548000,9E2
110.587000,9E2
111.627000,9E2
112.676000,9E2
113.726000,9E2
114.765000,9E2
115.815000,9E2
116.854000,9E2
117.903000,9E2
118.943000,9E2
119.982000,9E2
121.022000,9E2
122.061000,9E2
123.101000,9E2
124.140000,9E2
125.180000,9E2
126.219000,9E2
127.258000,9E2
128.298000,9E2
129.337000,9E2
130.377000,9E2
131.416000,9E2
132.456000,9E2
133.495000,9E2
134.535000,9E2
135.574000,9E2
136.613000,9E2
137.653000,9E2
138.692000,9E2
139.742000,9E2
140.791000,9E2
141.831000,9E2
142.870000,9E2
143.910000,9E2
144.949000,9E2
145.988000,9E2
147.038000,9E2
148.077000,9E2
149.117000,9E2
150.166000,9E2
151.206000,9E2
152.255000,9E2
153.295000,9E2
154.344000,9E2
155.383000,9E2
156.433000,9E2
157.482000,9E2
158.522000,9E2
159.571000,9E2
160.611000,9E2
161.660000,9E2
162.700000,9E2
163.749000,9E2
164.788000,9E2
165.838000,9E2
166.877000,9E2
167.917000,9E2
168.966000,9E2
170.006000,9E2
171.045000,9E2
172.084000,9E2
173.134000,9E2
174.183000,9E2
175.223000,9E2
176.272000,9E2
177.322000,9E2
178.371000,9E2
179.411000,9E2
180.460000,9E2
181.499000,9E2
182.539000,9E2
183.588000,9E2
184.628000,9E2
185.667000,9E2
186.717000,9E2
187.766000,9E2
188.806000,9E2
189.845000,9E2
190.895000,9E2
191.934000,9E2
192.973000,9E2
194.013000,9E2
195.052000,9E2
196.092000,9E2
197.131000,9E2
198.171000,9E2
199.210000,9E2
200.250000,9E2
201.289000,9E2
202.328000,9E2
203.368000,9E2
204.407000,9E2
205.447000,9E2
206.486000,9E2
207.526000,9E2
208.565000,9E2
209.605000,9E2
210.644000,9E2
211.683000,9E2
212.723000,9E2
213.762000,9E2
214.802000,9E2
215.841000,9E2
216.881000,9E2
217.930000,9E2
218.980000,9E2
220.019000,9E2
221.068000,9E2
222.108000,9E2
223.157000,9E2
224.197000,9E2
225.246000,9E2
226.286000,9E2
227.335000,9E2
228.385000,9E2
229.424000,9E2
230.473000,9E2
231.513000,1E3
232.562000,9E2
233.602000,9E2
234.651000,9E2
235.691000,9E2
236.730000,9E2
237.770000,9E2
238.809000,9E2
239.848000,9E2
240.898000,9E2
241.947000,9E2
242.987000,9E2
244.036000,9E2
245.086000,9E2
246.125000,9E2
247.174000,9E2
248.224000,9E2
249.263000,9E2
250.303000,9E2
251.352000,9E2
252.392000,9E2
253.441000,9E2
254.491000,9E2
255.530000,9E2
256.569000,9E2
257.619000,9E2
258.668000,9E2
259.708000,9E2
260.747000,9E2
261.797000,9E2
262.836000,9E2
263.877000,9E2
264.914000,9E2
265.964000,9E2
267.013000,9E2
268.053000,9E2
269.102000,9E2
270.151000,9E2
271.191000,9E2
272.230000,9E2
273.270000,9E2
274.309000,9E2
275.349000,9E2
276.388000,9E2
277.428000,9E2
278.477000,9E2
279.516000,9E2
280.556000,9E2
281.595000,9E2
282.645000,9E2
283.692000,9E2
284.732000,9E2
285.771000,9E2
286.810000,9E2
287.850000,9E2
288.889000,9E2
289.929000,9E2
290.968000,9E2
292.018000,9E2
293.067000,9E2
294.107000,9E2
295.146000,9E2
296.185000,9E2
297.225000,1E3
298.264000,9E2
299.304000,9E2
300.343000,1E3
301.393000,9E2
302.432000,9E2
303.472000,1E3
304.511000,9E2
305.560000,9E2
306.610000,9E2
307.649000,9E2
308.689000,9E2
309.738000,9E2
310.787000,9E2
311.837000,9E2
312.877000,9E2
313.926000,9E2
314.965000,1E3
316.005000,9E2
317.044000,1E3
318.084000,9E2
319.123000,9E2
320.173000,9E2
321.212000,9E2
322.252000,1E3
323.291000,9E2
324.340000,9E2
325.380000,9E2
326.419000,1E3
327.459000,9E2
328.498000,9E2
329.538000,9E2
330.577000,1E3
331.617000,1E3
332.656000,1E3
333.705000,9E2
334.745000,9E2
335.784000,9E2
336.834000,9E2
337.873000,9E2
338.920000,9E2
339.970000,9E2
341.019000,9E2
342.059000,9E2
343.098000,9E2
344.138000,9E2
345.187000,9E2
346.236000,9E2
347.276000,9E2
348.315000,9E2
349.365000,9E2
350.414000,9E2
351.464000,9E2
352.503000,9E2
353.543000,9E2
354.592000,9E2
355.631000,9E2
356.681000,9E2
357.720000,9E2
358.770000,9E2
359.809000,9E2
360.849000,9E2
361.898000,9E2
362.938000,9E2
363.977000,9E2
365.026000,9E2
366.066000,9E2
367.115000,9E2
368.165000,9E2
369.204000,9E2
370.254000,9E2
371.293000,9E2
372.343000,9E2
373.382000,1E3
374.421000,1E3
375.471000,1E3
376.520000,9E2
377.560000,9E2
378.609000,9E2
379.649000,1E3
380.698000,9E2
381.738000,1E3
382.777000,1E3
383.816000,9E2
384.856000,1E3
385.895000,9E2
386.935000,1E3
387.974000,9E2
389.014000,1E3
390.053000,1E3
391.093000,9E2
392.132000,1E3
393.171000,1E3
394.211000,1E3
395.250000,1E3
396.290000,9E2
397.329000,1E3
398.369000,1E3
399.408000,9E2
400.448000,1E3
401.487000,9E2
402.526000,9E2
403.566000,1E3
404.605000,9E2
405.645000,9E2
406.684000,9E2
407.724000,9E2
408.763000,9E2
409.813000,9E2
410.852000,1E3
411.891000,9E2
412.931000,9E2
413.970000,9E2
415.010000,1E3
416.049000,1E3
417.099000,9E2
418.148000,9E2
419.198000,9E2
420.237000,1E3
421.286000,9E2
422.326000,1E3
423.365000,9E2
424.405000,1E3
425.454000,1E3
426.494000,9E2
427.533000,9E2
428.583000,1E3
429.622000,1E3
430.671000,9E2
431.721000,1E3
432.760000,1E3
